key,value,State
Binge drinking* prevalence†,13.7,Alabama
Binge drinking* prevalence†,18,Alaska
Binge drinking* prevalence†,18.7,Arizona
Binge drinking* prevalence†,17.5,Arkansas
Binge drinking* prevalence†,18.2,California
Binge drinking* prevalence†,19.9,Colorado
Binge drinking* prevalence†,17.2,Connecticut
Binge drinking* prevalence†,15.6,Delaware
Binge drinking* prevalence†,24.2,District of Columbia
Binge drinking* prevalence†,16.3,Florida
Binge drinking* prevalence†,15.2,Georgia
Binge drinking* prevalence†,19.9,Hawaii
Binge drinking* prevalence†,16.4,Idaho
Binge drinking* prevalence†,18.3,Illinois
Binge drinking* prevalence†,15.7,Indiana
Binge drinking* prevalence†,23.2,Iowa
Binge drinking* prevalence†,18.2,Kansas
Binge drinking* prevalence†,14,Kentucky
Binge drinking* prevalence†,17.7,Louisiana
Binge drinking* prevalence†,17.7,Maine
Binge drinking* prevalence†,14.4,Maryland
Binge drinking* prevalence†,18.6,Massachusetts
Binge drinking* prevalence†,18.7,Michigan
Binge drinking* prevalence†,21,Minnesota
Binge drinking* prevalence†,14.4,Mississippi
Binge drinking* prevalence†,20.6,Missouri
Binge drinking* prevalence†,24,Montana
Binge drinking* prevalence†,20.5,Nebraska
Binge drinking* prevalence†,18.7,Nevada
Binge drinking* prevalence†,18.8,New Hampshire
Binge drinking* prevalence†,16.7,New Jersey
Binge drinking* prevalence†,16.8,New Mexico
Binge drinking* prevalence†,17.8,New York
Binge drinking* prevalence†,18.1,North Carolina
Binge drinking* prevalence†,23.9,North Dakota
Binge drinking* prevalence†,19.9,Ohio
Binge drinking* prevalence†,14.4,Oklahoma
Binge drinking* prevalence†,19.4,Oregon
Binge drinking* prevalence†,18.4,Pennsylvania
Binge drinking* prevalence†,18.4,Rhode Island
Binge drinking* prevalence†,18.2,South Carolina
Binge drinking* prevalence†,21,South Dakota
Binge drinking* prevalence†,16.4,Tennessee
Binge drinking* prevalence†,16.9,Texas
Binge drinking* prevalence†,12.7,Utah
Binge drinking* prevalence†,20.3,Vermont
Binge drinking* prevalence†,17.8,Virginia
Binge drinking* prevalence†,16.5,Washington
Binge drinking* prevalence†,15.5,West Virginia
Binge drinking* prevalence†,21.8,Wisconsin
Binge drinking* prevalence†,19.8,Wyoming